interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
910,915,1,0,8.5,0,2,20,2,2,0,1.7,99.97,79.49,18.75,99.75,0
910,915,1,0,3.56,0,0,21,0,0,0,0.71,165.69,35,11.88,165.35,0
910,915,1,0,14.41,0,0,22,0,0,0,2.88,100000,15,0,,15
910,915,1,0,5.68,0,0,23,0,0,0,2.27,17.27,5,10.42,16.89,0
910,915,1,0,1.82,0,0,24,0,0,0,0.36,56.23,5,9.84,55.83,0
910,915,1,0,5.46,0,0,25,1,1,0,1.09,31.91,15,17.34,31.68,0
910,915,1,0,11.31,0,0,26,0,0,0,2.26,100000,10,0,,10
910,915,1,0,,0,0,27,0,0,0,,,0,,,
910,915,1,0,0.51,0,0,28,0,0,0,0.1,178.72,5,11.01,178.36,0
910,915,1,0,20.29,0,9,3,2,2,1,2.66,34.73,66.95,19.12,34.53,0
910,915,1,0,40.35,4,1,4,3,3,2,5.36,62.84,244.77,19.37,62.62,0
910,915,1,0,22.33,0,1,5,1,1,4,1.71,11.98,17.39,13.33,11.71,0
910,915,1,0,36.44,0,5,6,1,1,4,4.61,6.05,20.14,18.94,5.84,0
910,915,1,7,35.83,0,4,7,1,1,0,4.73,36.44,123.5,19.03,36.25,0
910,915,1,0,22.66,2,0,8,1,1,4,3,31.66,72.08,20.22,31.45,0
910,915,1,0,10.95,0,3,9,0,0,1,1.05,8.81,9.4,19.93,8.62,0
915,920,1,0,24.9,3,0,1,3,3,2,3.31,66.82,160.02,19.29,66.62,0
915,920,1,2,31.2,1,0,10,6,6,3,4.15,98.62,292.86,19.07,98.33,0
915,920,1,0,88.33,0,4,11,0,0,6,5.75,15.36,67.05,10.14,15.12,0
915,920,1,0,50.26,0,6,12,0,0,0,6.65,21.12,93.97,17.9,20.89,0
915,920,1,2,5.62,0,0,13,2,2,0,0.75,62.71,34.28,19.53,62.51,0
915,920,1,0,16.03,1,0,14,1,1,1,3.2,94.95,148.45,19.54,94.74,0
915,920,1,0,60.36,0,1,15,2,2,0,4.82,103.55,87.29,2.83,102.14,55
915,920,1,1,22.05,0,0,16,1,1,0,4.41,83.2,175.35,19.16,83,0
915,920,1,0,12.16,0,0,17,0,0,1,1.62,43.59,51.55,19.54,43.39,0
915,920,1,0,58.62,0,1,18,1,1,0,4.68,69.53,83.2,4.14,68.57,55
915,920,1,0,13.42,0,0,19,0,0,3,2.64,16.29,18.96,17.59,16.06,0
915,920,1,0,84.99,0,1,2,1,1,7,5.61,39.77,120.74,7.25,40.02,10
915,920,1,0,9.78,0,3,20,1,1,0,1.95,99.47,91.41,18.84,99.26,0
915,920,1,0,3.4,0,0,21,0,0,1,0.68,166.94,33.35,11.79,166.67,0
915,920,1,0,15.14,0,1,22,0,0,1,2.92,152.21,15.77,1.39,170.63,13
915,920,1,0,5.68,0,0,23,0,0,0,2.27,17.49,5,10.29,17.1,0
915,920,1,0,1.82,0,0,24,0,0,0,0.36,55.12,5,10.04,54.72,0
915,920,1,0,5.46,0,0,25,0,0,0,1.09,32.09,15,17.24,31.86,0
915,920,1,0,10.56,0,0,26,0,0,1,2.02,250.19,9.33,0.72,536.6,7
915,920,1,0,,0,0,27,0,0,0,,,0,,,
915,920,1,0,0.51,0,0,28,0,0,0,0.1,181.28,5,10.85,180.91,0
915,920,1,0,31.22,0,6,3,0,0,1,4.13,35.39,103.03,18.76,35.18,0
915,920,1,0,42.08,3,1,4,4,4,2,5.59,63.24,255.22,19.25,62.98,0
915,920,1,0,26.09,0,2,5,1,1,0,2.05,21.25,20.32,7.52,20.72,5
915,920,1,0,28.35,0,0,6,1,1,5,3.66,5.86,15.66,19.55,5.65,0
915,920,1,6,31.84,0,5,7,0,0,0,4.2,35.98,109.76,19.27,35.76,0
915,920,1,0,22.01,2,0,8,0,0,1,2.92,31.86,70,20.09,31.66,0
915,920,1,0,23.29,0,1,9,0,0,0,2.32,9.26,19.99,18.97,9.05,0
920,925,1,0,25.23,2,0,1,4,4,3,3.35,66.85,162.17,19.29,66.63,0
920,925,1,2,29.86,3,2,10,5,5,2,3.97,98.72,280.3,19.06,98.47,0
920,925,1,0,54.38,0,2,11,0,0,6,3.53,11.89,41.28,13.1,11.62,0
920,925,1,0,68.25,0,8,12,0,0,2,9.01,21.04,127.6,17.96,20.82,0
920,925,1,1,4.62,0,2,13,0,0,0,0.61,62.17,28.2,19.7,61.95,0
920,925,1,0,15.51,2,0,14,2,2,4,3.09,94.73,143.63,19.59,94.53,0
920,925,1,0,70.82,0,4,15,2,2,0,5.64,66.51,102.41,4.41,65.61,64
920,925,1,0,22.01,0,0,16,0,0,0,4.4,83.22,175,19.16,83.01,0
920,925,1,0,11.83,2,0,17,0,0,2,1.56,43.92,50.13,19.39,43.71,0
920,925,1,0,62.95,0,2,18,0,0,0,5.02,90.37,89.34,3.19,89.11,64
920,925,1,0,4.15,0,0,19,0,0,2,0.8,15.41,5.87,18.6,15.23,0
920,925,1,0,67.99,0,4,2,1,1,9,4.46,24.72,96.59,11.65,24.57,1
920,925,1,0,11.16,0,2,20,1,1,0,2.23,98.4,104.38,19.04,98.19,0
920,925,1,0,3.06,0,0,21,0,0,0,0.61,167.91,30,11.72,167.57,0
920,925,1,0,14.41,0,0,22,0,0,0,2.88,50.63,15,4.19,49.68,10
920,925,1,0,1.61,0,0,23,0,0,1,0.56,17.19,1.42,10.47,16.65,0
920,925,1,0,2.95,0,1,24,0,0,0,0.58,55.4,8.11,9.99,55,0
920,925,1,0,5.46,0,0,25,1,1,0,1.09,31.08,15,17.8,30.86,0
920,925,1,0,1.96,0,0,26,0,0,1,0.33,30.61,1.74,5.91,33.66,0
920,925,1,0,,0,0,27,0,0,0,,,0,,,
920,925,1,0,0.51,0,0,28,0,0,0,0.1,176.77,5,11.13,176.41,0
920,925,1,0,41.85,0,9,3,0,0,0,5.54,35.55,138.13,18.68,35.34,0
920,925,1,2,42.2,2,0,4,1,1,2,5.61,63.42,255.97,19.19,63.17,0
920,925,1,0,41.33,0,3,5,1,1,0,3.26,18.66,32.18,8.56,18.19,10
920,925,1,0,5.13,0,1,6,0,0,0,0.64,7.84,2.83,14.61,7.56,0
920,925,1,7,26.74,0,0,7,1,1,0,3.54,35.15,92.18,19.73,34.95,0
920,925,1,0,23.58,2,0,8,3,3,1,3.13,31.65,74.99,20.22,31.46,0
920,925,1,0,28.8,0,1,9,3,3,0,2.87,17.43,24.72,10.07,17.04,3
925,930,1,0,25.75,3,0,1,4,4,1,3.43,66.46,165.49,19.4,66.25,0
925,930,1,2,29.76,1,0,10,3,3,1,3.96,97.94,279.34,19.21,97.71,0
925,930,1,0,37.18,0,1,11,0,0,3,2.42,13.16,28.22,11.84,12.87,1
925,930,1,0,75.49,0,3,12,0,0,5,10.01,21.11,141.14,17.9,20.89,0
925,930,1,1,6.59,0,5,13,0,0,0,0.87,62.75,40.22,19.52,62.56,0
925,930,1,0,15.53,1,0,14,3,3,1,3.1,95.27,143.78,19.48,95.08,0
925,930,1,0,76.07,0,1,15,2,2,0,6.09,55.58,110,5.28,54.82,76
925,930,1,1,21.45,0,0,16,0,0,0,4.29,83.19,170.53,19.17,82.99,0
925,930,1,0,12.27,1,0,17,3,3,1,1.63,44.17,52,19.28,43.97,0
925,930,1,0,66.94,0,0,18,0,0,0,5.36,96.41,95,2.99,95.07,72
925,930,1,0,,0,0,19,0,0,0,,,0,,,
925,930,1,0,49.83,0,1,2,2,2,6,3.29,19.91,70.79,14.47,19.64,0
925,930,1,0,11.77,0,0,20,0,0,0,2.35,97.99,110,19.12,97.78,0
925,930,1,0,3.06,0,0,21,0,0,0,0.61,166.71,30,11.8,166.37,0
925,930,1,0,14.41,0,0,22,0,0,0,2.88,51.04,15,4.16,50.08,10
925,930,1,0,,0,0,23,0,0,0,,,0,,,
925,930,1,0,3.64,0,0,24,0,0,0,0.73,55.39,10,9.99,54.99,0
925,930,1,0,5.46,0,0,25,0,0,0,1.09,29.57,15,18.71,29.36,0
925,930,1,0,,0,0,26,0,0,0,,,0,,,
925,930,1,0,,0,0,27,0,0,0,,,0,,,
925,930,1,0,0.51,0,0,28,0,0,0,0.1,178.99,5,10.99,178.62,0
925,930,1,0,52.94,0,6,3,0,0,0,7.03,35.95,174.73,18.47,35.74,0
925,930,1,3,39.81,3,0,4,3,3,2,5.29,64.24,241.47,18.95,64,0
925,930,1,0,60.92,0,2,5,1,1,0,4.84,18.86,47.44,8.47,18.39,10
925,930,1,0,6.37,0,0,6,0,0,1,0.83,5.51,3.52,20.76,5.33,0
925,930,1,2,20.5,0,1,7,2,2,0,2.72,35.28,70.68,19.66,35.09,0
925,930,1,0,23.03,2,0,8,1,1,2,3.05,31.73,73.24,20.17,31.52,0
925,930,1,0,40.95,0,3,9,1,1,0,4.06,22.9,35.15,7.67,22.37,15
930,935,1,0,27.03,3,0,1,3,3,1,3.6,66.43,173.71,19.41,66.22,0
930,935,1,0,28.58,1,0,10,3,3,3,3.8,96.71,268.21,19.45,96.4,0
