,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
1576,1180.0,1185.0,1.0,0.0,11.86,0.0,0.0,17.0,2.0,2.0,2.0,1.57,43.7,50.28,19.49,43.48,0.0
1577,1180.0,1185.0,1.0,0.0,66.36,0.0,2.0,18.0,0.0,0.0,0.0,5.3,191.66,94.17,1.5,189.0,76.0
1578,1180.0,1185.0,1.0,0.0,2.27,0.0,1.0,19.0,1.0,1.0,0.0,0.4,28.63,3.2,10.01,28.23,0.0
1579,1180.0,1185.0,1.0,0.0,38.67,0.0,4.0,2.0,0.0,0.0,6.0,2.52,19.68,54.93,14.64,19.44,5.0
1580,1180.0,1185.0,1.0,0.0,12.3,0.0,0.0,20.0,1.0,1.0,0.0,2.46,96.9,115.0,19.34,96.7,0.0
1581,1180.0,1185.0,1.0,0.0,2.55,1.0,0.0,21.0,0.0,0.0,0.0,0.51,170.83,25.0,11.52,170.48,0.0
1583,1180.0,1185.0,1.0,0.0,1.9400000000000002,0.0,0.0,23.0,0.0,0.0,0.0,0.3666666666666667,27.593333333333334,0.0,17.0,27.12,0.0
1584,1180.0,1185.0,1.0,0.0,3.64,0.0,0.0,24.0,0.0,0.0,0.0,0.73,50.94,10.0,10.86,50.58,0.0
1585,1180.0,1185.0,1.0,0.0,1.73,0.0,0.0,25.0,0.0,0.0,1.0,0.34,28.48,4.75,19.43,27.65,0.0
1586,1180.0,1185.0,1.0,0.0,3.206666666666667,0.0,0.0,26.0,0.0,0.0,0.0,0.61,24.183333333333334,0.0,13.716666666666667,23.659999999999997,0.0
1587,1180.0,1185.0,1.0,0.0,3.2066666666666666,0.0,0.0,27.0,0.0,0.0,0.0,0.61,24.183333333333334,0.0,13.716666666666667,23.66,0.0
1588,1180.0,1185.0,1.0,0.0,1.02,0.0,0.0,28.0,0.0,0.0,0.0,0.2,198.63,10.0,9.91,198.23,0.0
1589,1180.0,1185.0,1.0,1.0,69.5,0.0,7.0,3.0,0.0,0.0,0.0,9.23,38.18,229.37,17.39,37.96,0.0
1591,1180.0,1185.0,1.0,0.0,33.65,0.0,2.0,5.0,1.0,1.0,3.0,2.62,12.47,26.2,12.81,12.2,0.0
1592,1180.0,1185.0,1.0,0.0,83.49,0.0,3.0,6.0,0.0,0.0,7.0,10.83,6.83,46.13,16.76,6.6,0.0
1593,1180.0,1185.0,1.0,0.0,23.58,0.0,7.0,7.0,0.0,0.0,0.0,3.11,37.59,81.3,18.45,37.38,0.0
1594,1180.0,1185.0,1.0,0.0,20.97,1.0,0.0,8.0,2.0,2.0,2.0,2.78,31.83,66.68,20.11,31.62,0.0
1595,1180.0,1185.0,1.0,0.0,31.32,0.0,2.0,9.0,0.0,0.0,4.0,3.05,11.31,26.88,15.52,11.11,5.0
1596,1185.0,1190.0,1.0,0.0,28.92,4.0,0.0,1.0,5.0,5.0,3.0,3.84,64.81,185.85,19.89,64.59,0.0
1598,1185.0,1190.0,1.0,0.0,87.38,0.0,2.0,11.0,1.0,1.0,2.0,5.78,29.53,66.33,5.28,29.21,36.0
1599,1185.0,1190.0,1.0,0.0,19.99,0.0,4.0,12.0,0.0,0.0,1.0,2.62,18.89,37.37,20.01,18.69,0.0
1600,1185.0,1190.0,1.0,2.0,18.6,0.0,1.0,13.0,1.0,1.0,0.0,2.48,66.16,113.51,18.51,65.95,0.0
1601,1185.0,1190.0,1.0,0.0,13.5,1.0,0.0,14.0,1.0,1.0,0.0,2.7,94.42,125.0,19.65,94.22,0.0
1602,1185.0,1190.0,1.0,0.0,76.07,0.0,0.0,15.0,1.0,1.0,0.0,6.09,79.62,110.0,3.68,78.54,77.0
1603,1185.0,1190.0,1.0,1.0,20.88,0.0,0.0,16.0,3.0,3.0,0.0,4.18,84.3,166.0,18.91,84.09,0.0
1604,1185.0,1190.0,1.0,0.0,9.99,1.0,0.0,17.0,1.0,1.0,1.0,1.33,43.18,42.35,19.72,43.0,0.0
1605,1185.0,1190.0,1.0,0.0,72.17,0.0,1.0,18.0,1.0,1.0,0.0,5.77,124.24,102.42,2.32,122.52,85.0
1606,1185.0,1190.0,1.0,0.0,3.54,0.0,0.0,19.0,0.0,0.0,0.0,0.71,15.45,5.0,18.55,15.23,0.0
1607,1185.0,1190.0,1.0,0.0,36.29,0.0,4.0,2.0,1.0,1.0,3.0,2.38,17.58,51.56,16.39,17.32,5.0
1608,1185.0,1190.0,1.0,1.0,12.06,0.0,0.0,20.0,1.0,1.0,0.0,2.41,96.73,112.8,19.37,96.53,0.0
1609,1185.0,1190.0,1.0,0.0,3.06,0.0,0.0,21.0,0.0,0.0,0.0,0.61,169.37,30.0,11.62,169.02,0.0
1611,1185.0,1190.0,1.0,0.0,3.6300000000000003,0.0,0.0,23.0,0.0,0.0,0.0,0.7133333333333334,19.790000000000003,0.0,16.563333333333333,19.326666666666664,0.0
1612,1185.0,1190.0,1.0,0.0,3.64,0.0,0.0,24.0,0.0,0.0,0.0,0.73,50.82,10.0,10.89,50.45,0.0
1613,1185.0,1190.0,1.0,0.0,3.6300000000000003,0.0,0.0,25.0,0.0,0.0,0.0,0.7133333333333334,19.790000000000003,0.0,16.563333333333333,19.326666666666664,0.0
1614,1185.0,1190.0,1.0,0.0,5.62,0.0,1.0,26.0,0.0,0.0,0.0,1.09,15.44,4.97,11.71,15.1,0.0
1615,1185.0,1190.0,1.0,0.0,4.336666666666667,0.0,0.0,27.0,0.0,0.0,0.0,0.8533333333333332,19.849999999999998,0.0,14.236666666666666,19.343333333333334,0.0
1616,1185.0,1190.0,1.0,0.0,1.02,0.0,0.0,28.0,0.0,0.0,0.0,0.2,199.56,10.0,9.86,199.16,0.0
1617,1185.0,1190.0,1.0,3.0,74.71,0.0,4.0,3.0,0.0,0.0,0.0,9.93,38.29,246.56,17.34,38.07,0.0
1618,1185.0,1190.0,1.0,2.0,38.58,3.0,0.0,4.0,1.0,1.0,4.0,5.12,64.65,233.99,18.83,64.38,0.0
1619,1185.0,1190.0,1.0,0.0,37.58,0.0,4.0,5.0,0.0,0.0,3.0,2.91,12.01,29.27,13.3,11.71,0.0
1620,1185.0,1190.0,1.0,0.0,34.42,0.0,3.0,6.0,0.0,0.0,6.0,4.32,6.73,19.02,17.01,6.49,0.0
1621,1185.0,1190.0,1.0,0.0,34.16,0.0,6.0,7.0,0.0,0.0,0.0,4.53,38.99,117.77,17.78,38.77,0.0
1622,1185.0,1190.0,1.0,0.0,20.34,2.0,0.0,8.0,2.0,2.0,3.0,2.69,31.51,64.7,20.32,31.31,0.0
1623,1185.0,1190.0,1.0,0.0,28.72,0.0,3.0,9.0,1.0,1.0,2.0,2.81,12.08,24.65,14.54,11.84,5.0
1624,1190.0,1195.0,1.0,0.0,28.58,2.0,0.0,1.0,3.0,3.0,3.0,3.8,64.71,183.67,19.93,64.51,0.0
1626,1190.0,1195.0,1.0,0.0,86.52,0.0,1.0,11.0,0.0,0.0,2.0,5.73,31.5,65.68,4.95,31.16,40.0
1627,1190.0,1195.0,1.0,0.0,21.48,0.0,1.0,12.0,0.0,0.0,3.0,2.83,18.84,40.16,20.06,18.62,0.0
1628,1190.0,1195.0,1.0,0.0,18.18,0.0,3.0,13.0,1.0,1.0,0.0,2.42,65.75,110.99,18.63,65.54,0.0
1629,1190.0,1195.0,1.0,0.0,13.96,0.0,0.0,14.0,3.0,3.0,1.0,2.79,94.49,129.21,19.64,94.27,0.0
1630,1190.0,1195.0,1.0,0.0,76.43,0.0,1.0,15.0,1.0,1.0,0.0,6.11,132.72,110.52,2.21,130.91,86.0
1631,1190.0,1195.0,1.0,4.0,19.66,0.0,0.0,16.0,1.0,1.0,0.0,3.92,84.33,156.34,18.9,84.13,0.0
1632,1190.0,1195.0,1.0,0.0,11.37,2.0,0.0,17.0,1.0,1.0,2.0,1.5,43.79,48.2,19.45,43.56,0.0
1633,1190.0,1195.0,1.0,0.0,75.57,0.0,2.0,18.0,0.0,0.0,0.0,6.03,105.59,107.25,2.73,104.13,90.0
1634,1190.0,1195.0,1.0,0.0,3.54,0.0,0.0,19.0,0.0,0.0,0.0,0.71,14.84,5.0,19.31,14.64,0.0
1635,1190.0,1195.0,1.0,0.0,42.99,0.0,3.0,2.0,0.0,0.0,1.0,2.85,16.32,61.07,17.66,16.08,5.0
1636,1190.0,1195.0,1.0,0.0,11.77,0.0,0.0,20.0,1.0,1.0,0.0,2.35,97.08,110.0,19.3,96.87,0.0
1637,1190.0,1195.0,1.0,0.0,3.06,0.0,0.0,21.0,0.0,0.0,0.0,0.61,169.52,30.0,11.61,169.18,0.0
1639,1190.0,1195.0,1.0,0.0,3.943333333333333,0.0,0.0,23.0,0.0,0.0,0.0,0.7733333333333333,15.513333333333334,0.0,16.236666666666665,15.270000000000001,0.0
1640,1190.0,1195.0,1.0,0.0,3.64,0.0,0.0,24.0,0.0,0.0,0.0,0.73,51.06,10.0,10.84,50.69,0.0
1641,1190.0,1195.0,1.0,0.0,4.953333333333333,0.0,0.0,25.0,0.0,0.0,0.0,0.9899999999999999,15.736666666666665,0.0,13.893333333333333,15.430000000000001,0.0
1642,1190.0,1195.0,1.0,0.0,5.66,0.0,0.0,26.0,0.0,0.0,0.0,1.13,15.63,5.0,11.57,15.28,0.0
1643,1190.0,1195.0,1.0,0.0,5.646666666666667,0.0,0.0,27.0,0.0,0.0,0.0,1.1166666666666665,15.936666666666666,0.0,11.36,15.583333333333334,0.0
1644,1190.0,1195.0,1.0,0.0,1.02,0.0,0.0,28.0,0.0,0.0,0.0,0.2,198.45,10.0,9.92,198.04,0.0
1645,1190.0,1195.0,1.0,5.0,74.1,0.0,2.0,3.0,0.0,0.0,0.0,9.86,38.28,244.56,17.35,38.07,0.0
1646,1190.0,1195.0,1.0,2.0,35.55,0.0,0.0,4.0,1.0,1.0,4.0,4.72,65.43,215.65,18.6,65.13,0.0
1647,1190.0,1195.0,1.0,0.0,48.32,0.0,4.0,5.0,0.0,0.0,1.0,3.8,11.25,37.63,14.2,10.96,0.0
1648,1190.0,1195.0,1.0,0.0,30.24,0.0,1.0,6.0,0.0,0.0,1.0,3.97,6.19,16.71,18.5,5.97,0.0
1649,1190.0,1195.0,1.0,0.0,38.68,0.0,1.0,7.0,1.0,1.0,0.0,5.15,38.36,133.34,18.08,38.14,0.0
1650,1190.0,1195.0,1.0,0.0,18.74,2.0,0.0,8.0,2.0,2.0,2.0,2.48,31.96,59.6,20.02,31.78,0.0
1651,1190.0,1195.0,1.0,0.0,35.19,0.0,2.0,9.0,1.0,1.0,2.0,3.47,10.87,30.2,16.15,10.65,5.0
1652,1195.0,1200.0,1.0,0.0,28.57,3.0,0.0,1.0,2.0,2.0,5.0,3.79,65.03,183.64,19.83,64.82,0.0
1654,1195.0,1200.0,1.0,0.0,74.45,0.0,0.0,11.0,0.0,0.0,2.0,4.9,65.42,56.52,2.38,66.11,40.0
1655,1195.0,1200.0,1.0,0.0,17.77,0.0,2.0,12.0,0.0,0.0,2.0,2.34,19.2,33.22,19.69,19.0,0.0
1656,1195.0,1200.0,1.0,0.0,21.0,0.0,2.0,13.0,0.0,0.0,0.0,2.8,64.23,128.19,19.07,64.02,0.0
1657,1195.0,1200.0,1.0,0.0,13.32,2.0,0.0,14.0,0.0,0.0,2.0,2.66,94.14,123.28,19.71,93.94,0.0
1658,1195.0,1200.0,1.0,0.0,83.15,0.0,2.0,15.0,2.0,2.0,0.0,6.64,124.67,120.24,2.35,122.97,91.0
1659,1195.0,1200.0,1.0,4.0,17.25,0.0,1.0,16.0,0.0,0.0,0.0,3.43,83.42,137.16,19.11,83.22,0.0
1660,1195.0,1200.0,1.0,0.0,10.03,1.0,0.0,17.0,0.0,0.0,1.0,1.33,44.23,42.51,19.25,44.05,0.0
1661,1195.0,1200.0,1.0,0.0,82.62,0.0,1.0,18.0,0.0,0.0,0.0,6.6,85.27,117.25,3.38,84.09,92.0
1662,1195.0,1200.0,1.0,0.0,2.63,0.0,1.0,19.0,0.0,0.0,1.0,0.48,16.07,3.72,17.83,15.89,0.0
1663,1195.0,1200.0,1.0,0.0,42.64,0.0,4.0,2.0,0.0,0.0,6.0,2.79,16.95,60.57,17.0,16.61,5.0
1664,1195.0,1200.0,1.0,0.0,11.95,0.0,1.0,20.0,0.0,0.0,0.0,2.39,96.9,111.7,19.34,96.69,0.0
1665,1195.0,1200.0,1.0,0.0,3.06,0.0,0.0,21.0,0.0,0.0,0.0,0.61,170.48,30.0,11.54,170.13,0.0
1667,1195.0,1200.0,1.0,0.0,4.6499999999999995,0.0,0.0,23.0,0.0,0.0,0.0,0.9133333333333332,16.14666666666667,0.0,13.4,15.84666666666667,0.0
1668,1195.0,1200.0,1.0,0.0,3.64,0.0,0.0,24.0,0.0,0.0,0.0,0.73,49.89,10.0,11.09,49.53,0.0
1669,1195.0,1200.0,1.0,0.0,4.6499999999999995,0.0,0.0,25.0,0.0,0.0,0.0,0.9133333333333332,16.14666666666667,0.0,13.4,15.84666666666667,0.0
1670,1195.0,1200.0,1.0,0.0,5.66,0.0,0.0,26.0,0.0,0.0,0.0,1.13,16.74,5.0,10.8,16.37,0.0
1671,1195.0,1200.0,1.0,0.0,5.66,0.0,0.0,27.0,0.0,0.0,0.0,1.13,63.01333333333333,0.0,7.84,61.620000000000005,1.0
1673,1195.0,1200.0,1.0,7.0,66.91,0.0,3.0,3.0,0.0,0.0,0.0,8.89,37.9,220.82,17.52,37.69,0.0
1674,1195.0,1200.0,1.0,3.0,31.23,4.0,0.0,4.0,2.0,2.0,3.0,4.14,63.75,189.42,19.09,63.5,0.0
1675,1195.0,1200.0,1.0,0.0,56.42,0.0,3.0,5.0,1.0,1.0,5.0,4.41,11.32,43.93,14.11,11.05,0.0
1676,1195.0,1200.0,1.0,0.0,24.75,0.0,4.0,6.0,0.0,0.0,3.0,3.11,6.32,13.68,18.12,6.11,0.0
1677,1195.0,1200.0,1.0,0.0,42.86,0.0,3.0,7.0,0.0,0.0,0.0,5.7,38.14,147.75,18.18,37.92,0.0
1678,1195.0,1200.0,1.0,0.0,18.71,2.0,0.0,8.0,3.0,3.0,2.0,2.48,32.32,59.5,19.8,32.13,0.0
1679,1195.0,1200.0,1.0,0.0,32.18,0.0,2.0,9.0,0.0,0.0,3.0,3.16,12.08,27.61,14.53,11.87,5.0
1680,1200.0,1205.0,1.0,0.0,26.64,2.0,0.0,1.0,3.0,3.0,3.0,3.54,64.41,171.18,20.02,64.22,0.0
1683,1200.0,1205.0,1.0,0.0,18.64,0.0,0.0,12.0,1.0,1.0,1.0,2.48,19.39,34.85,19.49,19.19,0.0
1684,1200.0,1205.0,1.0,0.0,21.35,0.0,1.0,13.0,1.0,1.0,0.0,2.84,64.36,130.33,19.03,64.15,0.0
1685,1200.0,1205.0,1.0,0.0,12.97,2.0,0.0,14.0,0.0,0.0,2.0,2.58,93.92,120.1,19.76,93.73,0.0
1686,1200.0,1205.0,1.0,0.0,92.26,0.0,2.0,15.0,1.0,1.0,2.0,7.35,79.61,133.42,3.68,78.46,97.0
1687,1200.0,1205.0,1.0,6.0,14.67,0.0,0.0,16.0,0.0,0.0,0.0,2.92,81.64,116.67,19.53,81.47,0.0
1688,1200.0,1205.0,1.0,0.0,10.25,1.0,0.0,17.0,2.0,2.0,1.0,1.36,45.14,43.44,18.87,44.95,0.0
1689,1200.0,1205.0,1.0,0.0,85.49,0.0,1.0,18.0,1.0,1.0,2.0,6.81,96.07,121.32,3.0,94.85,89.0
1690,1200.0,1205.0,1.0,0.0,3.54,0.0,0.0,19.0,1.0,1.0,0.0,0.69,23.13,5.0,12.39,22.81,0.0
1691,1200.0,1205.0,1.0,0.0,45.95,0.0,4.0,2.0,2.0,2.0,0.0,3.04,18.28,65.28,15.76,18.03,6.0
1692,1200.0,1205.0,1.0,0.0,12.3,0.0,0.0,20.0,1.0,1.0,0.0,2.46,96.74,115.0,19.37,96.53,0.0
1693,1200.0,1205.0,1.0,0.0,3.46,1.0,0.0,21.0,1.0,1.0,0.0,0.69,170.72,34.0,11.52,170.37,0.0
1695,1200.0,1205.0,1.0,0.0,4.346666666666667,0.0,0.0,23.0,0.0,0.0,0.0,1.0633333333333332,66.51666666666667,0.0,7.55,65.11,1.0
1696,1200.0,1205.0,1.0,0.0,3.64,0.0,0.0,24.0,0.0,0.0,0.0,0.73,50.69,10.0,10.91,50.33,0.0
1697,1200.0,1205.0,1.0,0.0,4.346666666666667,0.0,0.0,25.0,0.0,0.0,0.0,1.0633333333333332,66.51666666666667,0.0,7.55,65.11,1.0
1698,1200.0,1205.0,1.0,0.0,5.66,0.0,0.0,26.0,0.0,0.0,0.0,1.13,156.67,5.0,1.15,153.21,3.0
1700,1200.0,1205.0,1.0,0.0,1.02,0.0,0.0,28.0,0.0,0.0,0.0,0.2,199.34,10.0,9.87,198.94,0.0
1701,1200.0,1205.0,1.0,7.0,61.39,0.0,2.0,3.0,1.0,1.0,0.0,8.16,37.38,202.61,17.76,37.18,0.0
1702,1200.0,1205.0,1.0,2.0,29.72,2.0,0.0,4.0,5.0,5.0,2.0,3.95,62.93,180.25,19.34,62.7,0.0
1703,1200.0,1205.0,1.0,0.0,47.38,0.0,2.0,5.0,1.0,1.0,2.0,3.71,11.49,36.9,13.9,11.24,0.0
1704,1200.0,1205.0,1.0,0.0,43.96,0.0,3.0,6.0,0.0,0.0,4.0,5.69,6.24,24.29,18.34,6.02,0.0
1705,1200.0,1205.0,1.0,1.0,45.05,0.0,4.0,7.0,0.0,0.0,0.0,5.99,38.25,155.31,18.13,38.03,0.0
1706,1200.0,1205.0,1.0,0.0,20.28,2.0,0.0,8.0,2.0,2.0,2.0,2.69,32.49,64.51,19.7,32.28,0.0
1707,1200.0,1205.0,1.0,0.0,24.73,0.0,1.0,9.0,0.0,0.0,2.0,2.44,15.81,21.22,11.11,15.69,5.0
1708,1205.0,1210.0,1.0,0.0,26.56,3.0,0.0,1.0,4.0,4.0,3.0,3.53,65.19,170.68,19.78,64.99,0.0
1711,1205.0,1210.0,1.0,0.0,11.56,0.0,2.0,12.0,2.0,2.0,3.0,1.5,20.6,21.62,18.34,20.45,0.0
1712,1205.0,1210.0,1.0,0.0,23.95,0.0,3.0,13.0,1.0,1.0,0.0,3.19,63.72,146.2,19.22,63.51,0.0
1713,1205.0,1210.0,1.0,0.0,13.18,1.0,0.0,14.0,4.0,4.0,2.0,2.63,95.01,122.02,19.53,94.84,0.0
1714,1205.0,1210.0,1.0,0.0,86.08,0.0,2.0,15.0,0.0,0.0,3.0,6.81,66.15,124.48,4.43,65.96,78.0
1715,1205.0,1210.0,1.0,2.0,11.97,0.0,0.0,16.0,0.0,0.0,0.0,2.39,81.53,95.19,19.55,81.36,0.0
1716,1205.0,1210.0,1.0,0.0,10.62,0.0,0.0,17.0,0.0,0.0,0.0,1.41,45.23,45.0,18.83,45.02,0.0
1717,1205.0,1210.0,1.0,0.0,77.97,0.0,0.0,18.0,1.0,1.0,4.0,6.16,98.88,110.65,2.91,101.42,73.0
1718,1205.0,1210.0,1.0,0.0,3.54,0.0,0.0,19.0,0.0,0.0,0.0,0.71,14.2,5.0,20.18,14.0,0.0
1719,1205.0,1210.0,1.0,0.0,55.33,0.0,3.0,2.0,2.0,2.0,0.0,3.67,24.02,78.6,11.99,23.69,18.0
1720,1205.0,1210.0,1.0,0.0,12.3,0.0,0.0,20.0,1.0,1.0,0.0,2.46,96.22,115.0,19.48,96.01,0.0
1721,1205.0,1210.0,1.0,0.0,3.56,0.0,0.0,21.0,0.0,0.0,0.0,0.71,169.15,35.0,11.63,168.81,0.0
1723,1205.0,1210.0,1.0,0.0,3.84,0.0,1.0,23.0,0.0,0.0,0.0,1.37,19.75,3.38,9.11,19.31,0.0
1724,1205.0,1210.0,1.0,1.0,3.64,0.0,0.0,24.0,0.0,0.0,0.0,0.73,50.88,10.0,10.87,50.53,0.0
1728,1205.0,1210.0,1.0,0.0,1.02,0.0,0.0,28.0,0.0,0.0,0.0,0.2,195.6,10.0,10.06,195.2,0.0
1729,1205.0,1210.0,1.0,8.0,51.57,0.0,2.0,3.0,0.0,0.0,0.0,6.84,36.91,170.21,17.99,36.73,0.0
1730,1205.0,1210.0,1.0,0.0,29.07,0.0,0.0,4.0,0.0,0.0,1.0,3.87,62.92,176.34,19.35,62.68,0.0
1731,1205.0,1210.0,1.0,0.0,32.27,0.0,1.0,5.0,1.0,1.0,4.0,2.48,11.79,25.13,13.55,11.26,0.0
1732,1205.0,1210.0,1.0,0.0,35.6,0.0,4.0,6.0,0.0,0.0,3.0,4.54,6.04,19.67,18.95,5.83,0.0
1733,1205.0,1210.0,1.0,1.0,49.58,0.0,3.0,7.0,2.0,2.0,0.0,6.59,38.09,170.92,18.21,37.87,0.0
1734,1205.0,1210.0,1.0,0.0,19.99,2.0,0.0,8.0,2.0,2.0,1.0,2.65,32.25,63.56,19.85,32.06,0.0
1735,1205.0,1210.0,1.0,0.0,26.71,0.0,2.0,9.0,0.0,0.0,1.0,2.64,15.92,22.92,11.03,15.67,10.0
1736,1210.0,1215.0,1.0,0.0,27.87,4.0,0.0,1.0,6.0,6.0,1.0,3.71,65.89,179.13,19.57,65.69,0.0
1739,1210.0,1215.0,1.0,0.0,19.4,0.0,4.0,12.0,1.0,1.0,1.0,2.54,21.23,36.28,17.8,21.02,0.0
1740,1210.0,1215.0,1.0,0.0,24.74,0.0,1.0,13.0,0.0,0.0,0.0,3.3,63.29,151.03,19.35,63.08,0.0
1741,1210.0,1215.0,1.0,0.0,12.68,1.0,0.0,14.0,1.0,1.0,1.0,2.53,95.67,117.41,19.4,95.47,0.0
1742,1210.0,1215.0,1.0,0.0,80.94,0.0,1.0,15.0,1.0,1.0,2.0,6.43,77.0,117.04,3.81,76.36,82.0
1743,1210.0,1215.0,1.0,1.0,11.27,0.0,0.0,16.0,0.0,0.0,0.0,2.25,81.95,89.62,19.45,81.76,0.0
1744,1210.0,1215.0,1.0,0.0,11.39,1.0,0.0,17.0,1.0,1.0,1.0,1.51,44.7,48.26,19.06,44.49,0.0
1746,1210.0,1215.0,1.0,0.0,5.74,0.0,1.0,19.0,0.0,0.0,0.0,1.1,18.22,8.11,15.73,17.96,0.0
1747,1210.0,1215.0,1.0,0.0,63.8,0.0,1.0,2.0,1.0,1.0,0.0,4.25,31.09,90.64,9.27,30.66,30.0
1748,1210.0,1215.0,1.0,3.0,11.85,0.0,0.0,20.0,1.0,1.0,0.0,2.37,96.4,110.76,19.44,96.2,0.0
1749,1210.0,1215.0,1.0,0.0,3.52,0.0,0.0,21.0,0.0,0.0,1.0,0.7,170.78,34.61,11.52,170.42,0.0
1751,1210.0,1215.0,1.0,0.0,5.68,0.0,0.0,23.0,0.0,0.0,0.0,2.27,16.93,5.0,10.63,16.55,0.0
1752,1210.0,1215.0,1.0,0.0,1.82,0.0,0.0,24.0,0.0,0.0,0.0,0.36,55.54,5.0,9.96,55.14,0.0
1757,1210.0,1215.0,1.0,6.0,45.8,0.0,3.0,3.0,0.0,0.0,0.0,6.07,35.69,151.16,18.61,35.49,0.0
1758,1210.0,1215.0,1.0,1.0,28.33,1.0,0.0,4.0,2.0,2.0,2.0,3.77,63.05,171.86,19.31,62.77,0.0
1759,1210.0,1215.0,1.0,0.0,23.23,0.0,2.0,5.0,1.0,1.0,2.0,1.8,12.4,18.09,12.88,12.14,0.0
1760,1210.0,1215.0,1.0,0.0,29.97,0.0,2.0,6.0,0.0,0.0,4.0,3.84,5.81,16.56,19.69,5.61,0.0
1761,1210.0,1215.0,1.0,6.0,48.6,0.0,4.0,7.0,2.0,2.0,0.0,6.44,38.56,167.56,17.98,38.35,0.0
1762,1210.0,1215.0,1.0,0.0,18.66,2.0,0.0,8.0,1.0,1.0,3.0,2.47,32.11,59.33,19.93,31.91,0.0
1763,1210.0,1215.0,1.0,0.0,37.87,0.0,3.0,9.0,1.0,1.0,2.0,3.73,13.29,32.5,13.22,13.06,10.0
1764,1215.0,1220.0,1.0,0.0,28.28,2.0,0.0,1.0,8.0,8.0,3.0,3.76,66.04,181.72,19.52,65.84,0.0
1766,1215.0,1220.0,1.0,0.0,81.32,0.0,3.0,11.0,0.0,0.0,0.0,5.38,54.35,61.73,2.87,52.96,50.0
1767,1215.0,1220.0,1.0,0.0,19.59,0.0,1.0,12.0,1.0,1.0,2.0,2.57,20.95,36.63,18.04,20.73,0.0
1768,1215.0,1220.0,1.0,0.0,26.1,0.0,2.0,13.0,3.0,3.0,0.0,3.48,63.49,159.32,19.29,63.29,0.0
1769,1215.0,1220.0,1.0,0.0,12.84,0.0,0.0,14.0,0.0,0.0,1.0,2.56,95.59,118.85,19.41,95.4,0.0
1770,1215.0,1220.0,1.0,0.0,78.78,0.0,1.0,15.0,1.0,1.0,3.0,6.22,112.5,113.92,2.61,112.53,80.0
1771,1215.0,1220.0,1.0,2.0,9.92,0.0,0.0,16.0,1.0,1.0,0.0,1.98,81.91,78.88,19.46,81.73,0.0
1772,1215.0,1220.0,1.0,0.0,10.96,2.0,0.0,17.0,1.0,1.0,1.0,1.45,44.54,46.46,19.12,44.31,0.0
1773,1215.0,1220.0,1.0,0.0,71.28,0.0,1.0,18.0,2.0,2.0,3.0,5.62,160.71,101.16,1.79,164.37,81.0
1774,1215.0,1220.0,1.0,0.0,4.32,0.0,0.0,19.0,0.0,0.0,1.0,0.85,15.98,6.11,17.94,15.82,0.0
1775,1215.0,1220.0,1.0,0.0,70.78,0.0,3.0,2.0,3.0,3.0,0.0,4.7,46.75,100.56,6.16,46.1,42.0
1776,1215.0,1220.0,1.0,5.0,9.78,0.0,1.0,20.0,0.0,0.0,0.0,1.94,95.19,91.4,19.69,95.02,0.0
1777,1215.0,1220.0,1.0,0.0,3.06,0.0,0.0,21.0,0.0,0.0,0.0,0.61,168.57,30.0,11.67,168.23,0.0
1778,1215.0,1220.0,1.0,0.0,8.94,0.0,0.0,22.0,0.0,0.0,1.0,1.69,32.04,9.31,6.62,30.08,3.0
1779,1215.0,1220.0,1.0,0.0,5.68,0.0,0.0,23.0,0.0,0.0,0.0,2.27,17.27,5.0,10.42,16.89,0.0
1780,1215.0,1220.0,1.0,0.0,1.82,0.0,0.0,24.0,0.0,0.0,0.0,0.36,55.23,5.0,10.02,54.83,0.0
1785,1215.0,1220.0,1.0,9.0,37.62,0.0,2.0,3.0,1.0,1.0,0.0,4.96,34.47,124.15,19.26,34.27,0.0
1786,1215.0,1220.0,1.0,3.0,25.55,1.0,0.0,4.0,1.0,1.0,3.0,3.39,62.86,154.98,19.36,62.57,0.0
1787,1215.0,1220.0,1.0,0.0,28.23,0.0,1.0,5.0,1.0,1.0,0.0,2.24,17.41,21.98,9.18,16.98,3.0
1788,1215.0,1220.0,1.0,0.0,12.48,0.0,0.0,6.0,0.0,0.0,1.0,1.64,5.69,6.9,20.13,5.49,0.0
1789,1215.0,1220.0,1.0,5.0,44.43,0.0,1.0,7.0,1.0,1.0,0.0,5.9,38.05,153.16,18.23,37.85,0.0
1790,1215.0,1220.0,1.0,0.0,18.93,2.0,0.0,8.0,1.0,1.0,2.0,2.51,32.39,60.19,19.76,32.19,0.0
1791,1215.0,1220.0,1.0,0.0,37.97,0.0,1.0,9.0,3.0,3.0,0.0,3.79,15.53,32.58,11.31,15.18,10.0
1792,1220.0,1225.0,1.0,0.0,26.94,2.0,0.0,1.0,4.0,4.0,5.0,3.57,66.35,173.11,19.43,66.16,0.0
1794,1220.0,1225.0,1.0,0.0,107.11,0.0,5.0,11.0,1.0,1.0,0.0,7.07,33.38,81.31,4.67,32.52,50.0
