,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
51,905.0,910.0,1.0,0.0,46.01,0.0,1.0,5.0,1.0,1.0,2.0,3.64,11.94,35.83,13.37,11.64,0.0
52,905.0,910.0,1.0,0.0,41.89,0.0,2.0,6.0,0.0,0.0,2.0,5.45,5.99,23.15,19.13,5.78,0.0
53,905.0,910.0,1.0,2.0,37.68,0.0,2.0,7.0,0.0,0.0,0.0,5.01,36.52,129.91,18.99,36.32,0.0
54,905.0,910.0,1.0,0.0,21.7,2.0,0.0,8.0,1.0,1.0,0.0,2.88,31.55,69.0,20.28,31.36,0.0
55,905.0,910.0,1.0,0.0,9.15,0.0,0.0,9.0,0.0,0.0,1.0,0.9,8.34,7.85,21.06,8.16,0.0
56,910.0,915.0,1.0,0.0,24.56,3.0,0.0,1.0,3.0,3.0,2.0,3.27,66.84,157.86,19.29,66.64,0.0
58,910.0,915.0,1.0,0.0,114.48,0.0,1.0,11.0,0.0,0.0,9.0,7.51,30.87,86.9,5.05,31.51,9.0
59,910.0,915.0,1.0,0.0,29.61,0.0,9.0,12.0,0.0,0.0,0.0,3.87,20.54,55.36,18.4,20.32,0.0
60,910.0,915.0,1.0,2.0,7.41,0.0,0.0,13.0,0.0,0.0,0.0,0.99,62.16,45.25,19.7,61.97,0.0
61,910.0,915.0,1.0,0.0,16.34,1.0,0.0,14.0,0.0,0.0,1.0,3.26,96.79,151.25,19.17,96.57,0.0
62,910.0,915.0,1.0,0.0,55.66,0.0,1.0,15.0,1.0,1.0,0.0,4.45,88.79,80.49,3.3,87.57,55.0
63,910.0,915.0,1.0,0.0,22.54,0.0,1.0,16.0,1.0,1.0,0.0,4.5,84.25,179.19,18.92,84.04,0.0
64,910.0,915.0,1.0,0.0,11.88,2.0,0.0,17.0,0.0,0.0,1.0,1.57,43.46,50.35,19.6,43.26,0.0
